,x1,x2,x3,x4,x5,y
70,3.0,2,2,73.60014477935172,75.91495283466773,3
72,1.0,2,1,95.20675008214657,89.98376157512216,1
74,2.0,2,2,73.89828980807279,80.50173440088787,0
75,3.0,3,4,72.50050287160714,68.38563259693909,3
76,3.0,2,3,68.2060682991914,119.98608409349094,2
78,3.0,2,4,69.8052254976857,74.98104825201867,3
80,2.0,3,4,88.82820779909927,77.88589061464056,1
81,2.0,2,3,83.89111321189922,110.69640311708143,1
82,2.0,2,4,72.25525226138691,112.76257697948445,1
85,1.0,2,4,93.26610963872184,108.719961644602,0
86,1.0,2,3,89.75209335999939,124.39792309486558,0
87,2.0,2,2,69.82531812570267,100.7132681974388,2
89,2.0,2,4,77.97018747638177,93.51916773229604,3
90,1.0,2,3,94.78870925930903,120.40987107661311,1
95,1.0,2,3,89.66672993495777,124.11537319846613,1
96,3.0,2,3,66.24311662760923,114.030991302722,2
98,1.0,2,1,97.37880844963678,84.82477891470995,1
99,3.0,2,4,70.82519614895986,81.1565004845546,3
100,1.0,2,2,90.3272049308913,80.30487275455131,1
102,3.0,2,3,66.06410231342826,112.61576150042231,2
104,3.0,2,2,69.81824976560569,81.32004807262128,2
105,3.0,2,3,67.69696643315314,109.7403426252837,3
106,2.0,2,2,89.46935159655119,79.87896673068096,1
109,3.0,2,3,64.10289186976692,113.7568635075164,2
111,3.0,2,3,67.98321963647669,122.06720327734031,2
114,2.0,1,4,70.75310602046804,141.82429064806402,0
115,3.0,3,2,68.34364271523857,55.48869182029298,3
116,1.0,2,3,90.98430562484751,121.60552091944672,0
117,1.0,2,3,102.00415882762691,136.4614739551386,1
122,2.0,1,3,80.79410772033015,130.4523419759062,0
123,1.0,1,4,86.51084269965301,132.70249363591563,0
125,2.0,2,2,70.33315353763467,100.69191730711269,2
126,2.0,2,2,69.90638139202268,99.0573276215514,2
129,2.0,1,4,81.56906010248296,128.3053408580293,0
131,1.0,1,4,89.52599106612179,122.51867830613233,0
132,1.0,2,2,94.19413470591057,83.42821248785296,1
133,2.0,3,3,83.36324936586415,80.67411756010002,1
134,2.0,3,4,89.9131125492042,70.01961255550307,1
139,3.0,3,4,73.24375759604041,83.667918435106,3
140,2.0,2,4,74.53851296058986,91.38734310171628,3
141,2.0,1,4,70.81647291543095,118.95109384186152,2
142,3.0,2,4,73.01076221453974,95.08172408025492,3
143,2.0,1,3,69.97943490941577,123.46520898808144,2
146,2.0,2,2,73.73076964800897,76.68104168430034,3
149,1.0,2,1,96.40249628052273,73.6146171711329,1
150,2.0,1,4,75.31782509727512,115.16539841926662,0
151,2.0,3,3,75.6334068377428,88.93628733246433,3
152,2.0,2,4,78.83746819531291,102.95841500641744,0
153,2.0,2,3,71.71056056039376,112.00185925395976,2
155,1.0,2,3,90.23203274727624,128.31984090819438,0
156,3.0,1,2,67.23716424727508,94.23975669749552,2
157,1.0,1,2,96.20625874762186,104.9125309150518,0
158,3.0,1,2,66.7084743809251,98.5785746868841,2
160,3.0,2,2,67.07138559941151,68.34263993259374,3
161,1.0,2,4,86.91833075729168,114.19799346106574,0
162,2.0,3,4,87.17878728601181,84.40610472389976,1
164,2.0,2,2,89.8783141390933,81.57915511529781,1
165,2.0,1,4,77.33814146775491,128.3416556068938,2
168,2.0,2,4,86.14121905910847,115.38138032677149,0
172,4.0,3,2,59.33750883070381,47.873280112802526,3
173,2.0,3,4,90.78716170206934,75.5196386092083,1
178,2.0,2,4,69.84223139681103,116.08709739850175,2
179,2.0,2,4,78.39147491399362,92.04884951851864,0
181,2.0,3,4,79.27795259337344,66.28367944582939,1
182,2.0,3,2,78.70870492957285,46.73356595665437,1
183,2.0,1,4,69.45011751751179,125.18805797846441,0
184,2.0,2,4,84.08327922495401,99.52237498046101,1
185,3.0,2,3,72.83845639106751,98.4171020596157,3
187,1.0,2,2,87.43939863792455,96.6685272204364,0
188,3.0,2,3,68.84868404709215,104.14217029546712,3
189,2.0,2,4,89.83050938105794,98.54883984672735,1
191,2.0,1,3,83.70985390868181,137.02603844180842,0
192,1.0,2,2,91.0200852478685,81.76840374296155,1
193,0.0,2,3,108.78861360619491,141.13269127741242,0
194,1.0,2,4,93.38575113053976,112.65037613209628,0
196,2.0,2,4,76.22219551023558,115.24030649450138,0
198,3.0,2,3,71.15787278796823,105.18593232781299,3
199,2.0,2,4,73.08854757979213,94.05622103545414,3
204,2.0,2,4,74.56067634717141,104.938454712994,3
205,1.0,2,2,89.53441391632238,86.31318527724055,1
206,2.0,2,2,87.81160410069859,92.94970051203846,0
207,3.0,3,2,61.20080542614541,33.796803813386546,1
208,1.0,2,3,98.1595052955712,116.38770993458608,1
